Accession	Taxonomy
JX131959.1	Uncultured_Entamoeba_clone_CEss272_18S_ribosomal_RNA_gene,_partial_sequence
JX131960.1	Uncultured_Entamoeba_clone_CEss273_18S_ribosomal_RNA_gene,_partial_sequence
JX131961.1	Uncultured_Entamoeba_clone_CEss274_18S_ribosomal_RNA_gene,_partial_sequence
JX131975.1	Uncultured_Entamoeba_clone_CEss288_18S_ribosomal_RNA_gene,_partial_sequence
JX131978.1	Uncultured_Entamoeba_clone_CEss291_18S_ribosomal_RNA_gene,_partial_sequence
JX131982.1	Uncultured_Entamoeba_clone_CEss295_18S_ribosomal_RNA_gene,_partial_sequence
JX131984.1	Uncultured_Entamoeba_clone_CEss297_18S_ribosomal_RNA_gene,_partial_sequence
JX131992.1	Uncultured_Entamoeba_clone_CEss305_18S_ribosomal_RNA_gene,_partial_sequence
JX131996.1	Uncultured_Entamoeba_clone_CEss309_18S_ribosomal_RNA_gene,_partial_sequence
JX132007.1	Uncultured_Entamoeba_clone_CEss320_18S_ribosomal_RNA_gene,_partial_sequence
JX132010.1	Uncultured_Entamoeba_clone_CEss323_18S_ribosomal_RNA_gene,_partial_sequence
JX132011.1	Uncultured_Entamoeba_clone_CEss324_18S_ribosomal_RNA_gene,_partial_sequence
JX132013.1	Uncultured_Entamoeba_clone_CEss326_18S_ribosomal_RNA_gene,_partial_sequence
JX132020.1	Uncultured_Entamoeba_clone_CEss333_18S_ribosomal_RNA_gene,_partial_sequence
JX132021.1	Uncultured_Entamoeba_clone_CEss334_18S_ribosomal_RNA_gene,_partial_sequence
JX132028.1	Uncultured_Entamoeba_clone_CEss341_18S_ribosomal_RNA_gene,_partial_sequence
FR686438.1	Entamoeba_coli_partial_18S_rRNA_gene,_isolate_J65
LC329314.1	Entamoeba_bovis_Chiba_B-5_gene_for_18S_ribosomal_RNA,_partial_sequence
LC329311.1	Entamoeba_bovis_Chiba_A-6_gene_for_18S_ribosomal_RNA,_partial_sequence
LC329309.1	Entamoeba_bovis_Chiba_A-3_gene_for_18S_ribosomal_RNA,_partial_sequence
LC329318.1	Entamoeba_bovis_Chiba_C-7_gene_for_18S_ribosomal_RNA,_partial_sequence
LC329308.1	Entamoeba_bovis_Chiba_A-2_gene_for_18S_ribosomal_RNA,_partial_sequence
LC329310.1	Entamoeba_bovis_Chiba_A-4_gene_for_18S_ribosomal_RNA,_partial_sequence
LC329316.1	Entamoeba_bovis_Tokushima_F-1_gene_for_18S_ribosomal_RNA,_partial_sequence
LC329307.1	Entamoeba_bovis_Chiba_A-1_gene_for_18S_ribosomal_RNA,_partial_sequence
LC067574.1	Entamoeba_polecki_gene_for_18S_rRNA,_partial_cds,_isolate:_Aichi-1
FR686449.1	Entamoeba_coli_partial_18S_rRNA_gene,_isolate_739
FR686451.1	Entamoeba_sp._RL4_partial_18S_rRNA_gene,_isolate_EST34
LC329315.1	Entamoeba_bovis_Chiba_B-6_gene_for_18S_ribosomal_RNA,_partial_sequence
FJ888635.1	Entamoeba_histolytica_isolate_RY1106_18S_ribosomal_RNA_gene,_partial_sequence
FR686450.1	Entamoeba_equi_partial_18S_rRNA_gene,_isolate_A2
LC329317.1	Entamoeba_bovis_Chiba_C-6_gene_for_18S_ribosomal_RNA,_partial_sequence
LC329313.1	Entamoeba_bovis_Chiba_B-4_gene_for_18S_ribosomal_RNA,_partial_sequence
LC329312.1	Entamoeba_bovis_Chiba_B-3_gene_for_18S_ribosomal_RNA,_partial_sequence
KX061779.1	Entamoeba_gingivalis_isolate_Fran_18S_ribosomal_RNA_gene,_partial_sequence
KX061778.1	Entamoeba_gingivalis_isolate_Yas_18S_ribosomal_RNA_gene,_partial_sequence
KF250434.1	Entamoeba_gingivalis_strain_E_18S_ribosomal_RNA_gene,_partial_sequence
KF250436.1	Entamoeba_gingivalis_strain_H57_18S_ribosomal_RNA_gene,_partial_sequence
MH133210.1	Entamoeba_coli_isolate_03_18S_ribosomal_RNA_gene,_partial_sequence
KF250435.1	Entamoeba_gingivalis_strain_H14_18S_ribosomal_RNA_gene,_partial_sequence
KF250433.1	Entamoeba_gingivalis_strain_C_18S_ribosomal_RNA_gene,_partial_sequence
KY286575.1	Entamoeba_sp._18S_ribosomal_RNA_gene,_partial_sequence
EF204915.1	Entamoeba_histolytica_18S_ribosomal_RNA_gene,_partial_sequence
MH133212.1	Entamoeba_hartmanni_isolate_02_18S_ribosomal_RNA_gene,_partial_sequence
MF568371.1	Entamoeba_sp._isolate_IQ-goat-1_18S_ribosomal_RNA_gene,_partial_sequence
MF568372.1	Entamoeba_sp._isolate_IQ-goat-2_18S_ribosomal_RNA_gene,_partial_sequence
MF568373.1	Entamoeba_sp._isolate_IQ-goat-3_18S_ribosomal_RNA_gene,_partial_sequence
MF568374.1	Entamoeba_sp._isolate_IQ-goat-4_18S_ribosomal_RNA_gene,_partial_sequence
MF568375.1	Entamoeba_sp._isolate_IQ-goat-5_18S_ribosomal_RNA_gene,_partial_sequence
MF568376.1	Entamoeba_sp._isolate_IQ-goat-6_18S_ribosomal_RNA_gene,_partial_sequence
MF568377.1	Entamoeba_sp._isolate_IQ-goat-7_18S_ribosomal_RNA_gene,_partial_sequence
MF568378.1	Entamoeba_sp._isolate_IQ-goat-8_18S_ribosomal_RNA_gene,_partial_sequence
MF568379.1	Entamoeba_sp._isolate_IQ-goat-9_18S_ribosomal_RNA_gene,_partial_sequence
FR686433.1	Entamoeba_coli_partial_18S_rRNA_gene,_isolate_EThue2
FR686447.1	Entamoeba_coli_partial_18S_rRNA_gene,_isolate_ETgor
FR686448.1	Entamoeba_coli_partial_18S_rRNA_gene,_isolate_EThue1
FR686410.1	Entamoeba_coli_partial_18S_rRNA_gene,_isolate_Drill1
KY658155.1	Entamoeba_sp._isolate_GOR_BUS32_Bushaho_18S_ribosomal_RNA_gene,_partial_sequence
KY658156.1	Entamoeba_sp._isolate_GOR_BUS33_Bushaho_18S_ribosomal_RNA_gene,_partial_sequence
KY658157.1	Entamoeba_sp._isolate_GOR_BUS34_Bushaho_18S_ribosomal_RNA_gene,_partial_sequence
KY658172.1	Entamoeba_sp._isolate_GOR_R11_Rushegura_18S_ribosomal_RNA_gene,_partial_sequence
KY658177.1	Entamoeba_sp._isolate_H15_Buhoma_18S_ribosomal_RNA_gene,_partial_sequence
KY658178.1	Entamoeba_sp._isolate_H24_Bujengwe_18S_ribosomal_RNA_gene,_partial_sequence
KY658179.1	Entamoeba_sp._isolate_H33_Bujengwe_18S_ribosomal_RNA_gene,_partial_sequence
MH133209.1	Entamoeba_chattoni_isolate_04_18S_ribosomal_RNA_gene,_partial_sequence
FR686387.1	Entamoeba_polecki_partial_18S_rRNA_gene,_isolate_Nandu1
MF568380.1	Entamoeba_sp._isolate_IQ-goat-10_18S_ribosomal_RNA_gene,_partial_sequence
KJ719489.1	Entamoeba_dispar_isolate_Mpl_Ed9_18S_ribosomal_RNA_gene,_partial_sequence
KT825975.1	Entamoeba_dispar_isolate_012_18S_small_subunit_ribosomal_RNA_gene,_partial_sequence
KT825976.1	Entamoeba_dispar_isolate_023_18S_small_subunit_ribosomal_RNA_gene,_partial_sequence
KT825977.1	Entamoeba_dispar_isolate_052_18S_small_subunit_ribosomal_RNA_gene,_partial_sequence
KT825978.1	Entamoeba_dispar_isolate_009_18S_small_subunit_ribosomal_RNA_gene,_partial_sequence
KT825979.1	Entamoeba_dispar_isolate_008_18S_small_subunit_ribosomal_RNA_gene,_partial_sequence
KT825980.1	Entamoeba_dispar_isolate_129_18S_small_subunit_ribosomal_RNA_gene,_partial_sequence
KT825981.1	Entamoeba_dispar_isolate_181_18S_small_subunit_ribosomal_RNA_gene,_partial_sequence
KT825982.1	Entamoeba_dispar_isolate_180_18S_small_subunit_ribosomal_RNA_gene,_partial_sequence
KT825983.1	Entamoeba_dispar_isolate_101_18S_small_subunit_ribosomal_RNA_gene,_partial_sequence
FR686456.1	Entamoeba_suis_partial_18S_rRNA_gene,_isolate_09/1464
FR686385.1	Entamoeba_polecki_partial_18S_rRNA_gene,_isolate_Swine_pool_11
FR686386.1	Entamoeba_polecki_partial_18S_rRNA_gene,_isolate_Swine_pool_5
KC922175.1	Uncultured_Entamoeba_clone_CA26_18S_ribosomal_RNA_gene,_partial_sequence
KC922176.1	Uncultured_Entamoeba_clone_CA27_18S_ribosomal_RNA_gene,_partial_sequence
FR686389.1	Entamoeba_polecki_partial_18S_rRNA_gene,_isolate_UNE214
FR686396.1	Entamoeba_polecki_partial_18S_rRNA_gene,_isolate_UNE2024
FR686384.1	Entamoeba_polecki_partial_18S_rRNA_gene,_isolate_Swine_pool_9
FR686399.1	Entamoeba_polecki_partial_18S_rRNA_gene,_isolate_UNE8
KY658154.1	Entamoeba_sp._isolate_GOR_B14_Bitukura_18S_ribosomal_RNA_gene,_partial_sequence
KY658158.1	Entamoeba_sp._isolate_GOR_BUS35_Bushaho_18S_ribosomal_RNA_gene,_partial_sequence
KY658159.1	Entamoeba_sp._isolate_GOR_HAB58_Habinyanja_18S_ribosomal_RNA_gene,_partial_sequence
KY658160.1	Entamoeba_sp._isolate_GOR_HAB65_Habinyanja_18S_ribosomal_RNA_gene,_partial_sequence
KY658161.1	Entamoeba_sp._isolate_GOR_HAB67_Habinyanja_18S_ribosomal_RNA_gene,_partial_sequence
KY658162.1	Entamoeba_sp._isolate_GOR_M37_Mubare_18S_ribosomal_RNA_gene,_partial_sequence
KY658163.1	Entamoeba_sp._isolate_GOR_M40_Mubare_18S_ribosomal_RNA_gene,_partial_sequence
KY658164.1	Entamoeba_sp._isolate_GOR_M41_Mubare_18S_ribosomal_RNA_gene,_partial_sequence
KY658165.1	Entamoeba_sp._isolate_GOR_M42_Mubare_18S_ribosomal_RNA_gene,_partial_sequence
KY658166.1	Entamoeba_sp._isolate_GOR_M45_Mubare_18S_ribosomal_RNA_gene,_partial_sequence
KY658167.1	Entamoeba_sp._isolate_GOR_M46_Mubare_18S_ribosomal_RNA_gene,_partial_sequence
KY658168.1	Entamoeba_sp._isolate_GOR_NK22_Nkuringo_18S_ribosomal_RNA_gene,_partial_sequence
KY658169.1	Entamoeba_sp._isolate_GOR_NK24_Nkuringo_18S_ribosomal_RNA_gene,_partial_sequence
KY658170.1	Entamoeba_sp._isolate_GOR_NK29_Nkuringo_18S_ribosomal_RNA_gene,_partial_sequence
KY658171.1	Entamoeba_sp._isolate_GOR_R1_Rushegura_18S_ribosomal_RNA_gene,_partial_sequence
KY658173.1	Entamoeba_sp._isolate_GOR_R12_Rushegura_18S_ribosomal_RNA_gene,_partial_sequence
KY658174.1	Entamoeba_sp._isolate_GOR_RES47_Kyiaguliro_18S_ribosomal_RNA_gene,_partial_sequence
KY658175.1	Entamoeba_sp._isolate_GOR_RES48_Kyiaguliro_18S_ribosomal_RNA_gene,_partial_sequence
KY658176.1	Entamoeba_sp._isolate_GOR_RES49_Kyiaguliro_18S_ribosomal_RNA_gene,_partial_sequence
FR686391.1	Entamoeba_polecki_partial_18S_rRNA_gene,_isolate_UNE755
FR686388.1	Entamoeba_polecki_partial_18S_rRNA_gene,_isolate_Nandu2
KY658105.1	Entamoeba_sp._isolate_CAT_L1_Mukono_18S_ribosomal_RNA_gene,_partial_sequence
KY658106.1	Entamoeba_sp._isolate_CAT_L2_Mukono_18S_ribosomal_RNA_gene,_partial_sequence
KY658107.1	Entamoeba_sp._isolate_CAT_L5_Mukono_18S_ribosomal_RNA_gene,_partial_sequence
KY658108.1	Entamoeba_sp._isolate_CAT_L7_Mukono_18S_ribosomal_RNA_gene,_partial_sequence
KY658109.1	Entamoeba_sp._isolate_CAT_L8_Mukono_18S_ribosomal_RNA_gene,_partial_sequence
KY658110.1	Entamoeba_sp._isolate_CAT_L09_18S_ribosomal_RNA_gene,_partial_sequence
KY658111.1	Entamoeba_sp._isolate_CAT_L10_18S_ribosomal_RNA_gene,_partial_sequence
KY658112.1	Entamoeba_sp._isolate_CAT_L15_Nkwenda_18S_ribosomal_RNA_gene,_partial_sequence
KY658113.1	Entamoeba_sp._isolate_CAT_L16_Nkwenda_18S_ribosomal_RNA_gene,_partial_sequence
KY658114.1	Entamoeba_sp._isolate_CAT_L17_Nkwenda_18S_ribosomal_RNA_gene,_partial_sequence
KY658115.1	Entamoeba_sp._isolate_CAT_L18_Nkwenda_18S_ribosomal_RNA_gene,_partial_sequence
KY658116.1	Entamoeba_sp._isolate_CAT_L20_Nkwenda_18S_ribosomal_RNA_gene,_partial_sequence
KY658117.1	Entamoeba_sp._isolate_CAT_L21_Nkwenda_18S_ribosomal_RNA_gene,_partial_sequence
KY658118.1	Entamoeba_sp._isolate_CAT_L22_Nkwenda_18S_ribosomal_RNA_gene,_partial_sequence
KY658119.1	Entamoeba_sp._isolate_CAT_L23_Nkwenda_18S_ribosomal_RNA_gene,_partial_sequence
KY658120.1	Entamoeba_sp._isolate_CAT_L24_18S_ribosomal_RNA_gene,_partial_sequence
KY658121.1	Entamoeba_sp._isolate_CAT_L25_Nkwenda_18S_ribosomal_RNA_gene,_partial_sequence
KY658122.1	Entamoeba_sp._isolate_CAT_L26_Nkwenda_18S_ribosomal_RNA_gene,_partial_sequence
KY658123.1	Entamoeba_sp._isolate_CAT_L28_Nkwenda_18S_ribosomal_RNA_gene,_partial_sequence
KY658124.1	Entamoeba_sp._isolate_CAT_L29_Nkwenda_18S_ribosomal_RNA_gene,_partial_sequence
KY658125.1	Entamoeba_sp._isolate_CAT_L30_Nkwenda_18S_ribosomal_RNA_gene,_partial_sequence
KY658126.1	Entamoeba_sp._isolate_CAT_L48_Kanyamisinga_18S_ribosomal_RNA_gene,_partial_sequence
KY658127.1	Entamoeba_sp._isolate_CAT_L49_Kanyamisinga_18S_ribosomal_RNA_gene,_partial_sequence
KY658128.1	Entamoeba_sp._isolate_CAT_L51_Kanyamisinga_18S_ribosomal_RNA_gene,_partial_sequence
KY658129.1	Entamoeba_sp._isolate_CAT_L55_Kanyamisinga_18S_ribosomal_RNA_gene,_partial_sequence
KY658130.1	Entamoeba_sp._isolate_CAT_L59_Kanyamisinga_18S_ribosomal_RNA_gene,_partial_sequence
KY658131.1	Entamoeba_sp._isolate_CAT_L60_Kanyamisinga_18S_ribosomal_RNA_gene,_partial_sequence
KY658132.1	Entamoeba_sp._isolate_CAT_L61_Kanyamisinga_18S_ribosomal_RNA_gene,_partial_sequence
KY658133.1	Entamoeba_sp._isolate_CAT_L62_Kanyamisinga_18S_ribosomal_RNA_gene,_partial_sequence
KY658134.1	Entamoeba_sp._isolate_GOAT_L34_Buhoma_18S_ribosomal_RNA_gene,_partial_sequence
KY658135.1	Entamoeba_sp._isolate_GOAT_L35_Buhoma_18S_ribosomal_RNA_gene,_partial_sequence
KY658136.1	Entamoeba_sp._isolate_GOAT_L36_Buhoma_18S_ribosomal_RNA_gene,_partial_sequence
KY658137.1	Entamoeba_sp._isolate_GOAT_L38_Buhoma_18S_ribosomal_RNA_gene,_partial_sequence
KY658138.1	Entamoeba_sp._isolate_GOAT_L40_Buhoma_18S_ribosomal_RNA_gene,_partial_sequence
KY658139.1	Entamoeba_sp._isolate_GOAT_L43_Buhoma_18S_ribosomal_RNA_gene,_partial_sequence
KY658140.1	Entamoeba_sp._isolate_GOAT_L63_Kanyamisinga_18S_ribosomal_RNA_gene,_partial_sequence
KY658141.1	Entamoeba_sp._isolate_GOAT_L64_Kanyamisinga_18S_ribosomal_RNA_gene,_partial_sequence
KY658142.1	Entamoeba_sp._isolate_GOAT_L69_Aidah-Rugira_18S_ribosomal_RNA_gene,_partial_sequence
KY658143.1	Entamoeba_sp._isolate_GOAT_L70_Aidah-Rugira_18S_ribosomal_RNA_gene,_partial_sequence
KY658144.1	Entamoeba_sp._isolate_GOAT_L71_Aidah-Rugira_18S_ribosomal_RNA_gene,_partial_sequence
KY658145.1	Entamoeba_sp._isolate_GOAT_L76_Mukono_18S_ribosomal_RNA_gene,_partial_sequence
KY658146.1	Entamoeba_sp._isolate_GOAT_L77_Mukono_18S_ribosomal_RNA_gene,_partial_sequence
KY658147.1	Entamoeba_sp._isolate_GOAT_L79_18S_ribosomal_RNA_gene,_partial_sequence
KY658148.1	Entamoeba_sp._isolate_GOAT_L81_Mukono_18S_ribosomal_RNA_gene,_partial_sequence
KY658149.1	Entamoeba_sp._isolate_GOAT_L82_Mukono_18S_ribosomal_RNA_gene,_partial_sequence
KY658150.1	Entamoeba_sp._isolate_GOAT_L86_Mukono_18S_ribosomal_RNA_gene,_partial_sequence
KY658151.1	Entamoeba_sp._isolate_GOAT_L92_Mukono_18S_ribosomal_RNA_gene,_partial_sequence
KY658152.1	Entamoeba_sp._isolate_GOAT_L93_Mukono_18S_ribosomal_RNA_gene,_partial_sequence
KY658153.1	Entamoeba_sp._isolate_GOAT_L98_Nkwenda_18S_ribosomal_RNA_gene,_partial_sequence
FR686366.1	Entamoeba_hartmanni_partial_18S_rRNA_gene,_isolate_09/1620
FR686367.1	Entamoeba_hartmanni_partial_18S_rRNA_gene,_isolate_09/1624
FR686368.1	Entamoeba_hartmanni_partial_18S_rRNA_gene,_isolate_09/1260
FR686370.1	Entamoeba_hartmanni_partial_18S_rRNA_gene,_isolate_08/1113
FR686372.1	Entamoeba_hartmanni_partial_18S_rRNA_gene,_isolate_08/1157
FR686373.1	Entamoeba_hartmanni_partial_18S_rRNA_gene,_isolate_09/1140
FR686382.1	Entamoeba_hartmanni_partial_18S_rRNA_gene,_isolate_J92
FR686369.1	Entamoeba_hartmanni_partial_18S_rRNA_gene,_isolate_09/1070
FR686371.1	Entamoeba_hartmanni_partial_18S_rRNA_gene,_isolate_08/1040
FR686455.1	Entamoeba_sp._RL3_partial_18S_rRNA_gene,_isolate_09/1248
FR686454.1	Entamoeba_sp._RL3_partial_18S_rRNA_gene,_isolate_09/1622
FR686452.1	Entamoeba_sp._RL3_partial_18S_rRNA_gene,_isolate_09/1618
FR686453.1	Entamoeba_sp._RL3_partial_18S_rRNA_gene,_isolate_09/1621
KX027290.1	Entamoeba_gingivalis_strain_O46_18S_ribosomal_RNA_gene,_partial_sequence
KX357142.1	Entamoeba_dispar_isolate_PGIMER-2015_18S_ribosomal_RNA_gene,_partial_sequence
KX363869.1	Entamoeba_bovis_18S_ribosomal_RNA_gene,_partial_sequence
KJ719493.1	Entamoeba_moshkovskii_isolate_Mpl_Em13_18S_ribosomal_RNA_gene,_partial_sequence
KT825984.1	Entamoeba_moshkovskii_isolate_001_18S_small_subunit_ribosomal_RNA_gene,_partial_sequence
KT825985.1	Entamoeba_moshkovskii_isolate_017_18S_small_subunit_ribosomal_RNA_gene,_partial_sequence
KT825986.1	Entamoeba_moshkovskii_isolate_026_18S_small_subunit_ribosomal_RNA_gene,_partial_sequence
KT825987.1	Entamoeba_moshkovskii_isolate_100_18S_small_subunit_ribosomal_RNA_gene,_partial_sequence
KT825988.1	Entamoeba_moshkovskii_isolate_149_18S_small_subunit_ribosomal_RNA_gene,_partial_sequence
KT825989.1	Entamoeba_moshkovskii_isolate_148_18S_small_subunit_ribosomal_RNA_gene,_partial_sequence
KT825990.1	Entamoeba_moshkovskii_isolate_103_18S_small_subunit_ribosomal_RNA_gene,_partial_sequence
KT825991.1	Entamoeba_moshkovskii_isolate_112_18S_small_subunit_ribosomal_RNA_gene,_partial_sequence
KT825992.1	Entamoeba_moshkovskii_isolate_161_18S_small_subunit_ribosomal_RNA_gene,_partial_sequence
KT825993.1	Entamoeba_moshkovskii_isolate_166_18S_small_subunit_ribosomal_RNA_gene,_partial_sequence
FR686401.1	Entamoeba_coli_partial_18S_rRNA_gene,_isolate_967
KX027293.1	Entamoeba_gingivalis_strain_P11_18S_ribosomal_RNA_gene,_partial_sequence
KJ719494.1	Entamoeba_moshkovskii_isolate_Mpl_Em14_18S_ribosomal_RNA_gene,_partial_sequence
KX027289.1	Entamoeba_gingivalis_strain_P55_18S_ribosomal_RNA_gene,_partial_sequence
KR025410.1	Entamoeba_sp._CL1_isolate_MT3_18S_ribosomal_RNA_gene,_partial_sequence
FR686409.1	Entamoeba_coli_partial_18S_rRNA_gene,_isolate_21790
MG601094.1	Entamoeba_gingivalis_18S_ribosomal_RNA_gene,_partial_sequence
KC763012.1	Entamoeba_histolytica_18S_ribosomal_RNA_gene,_partial_sequence
JQ412861.1	Entamoeba_bangladeshi_isolate_8111_18S_ribosomal_RNA_gene,_partial_sequence
JQ412862.1	Entamoeba_bangladeshi_isolate_8237_18S_ribosomal_RNA_gene,_partial_sequence
KC853035.1	Entamoeba_histolytica_isolate_17ZAEH18S_18S_ribosomal_RNA_gene,_partial_sequence
KC853038.1	Entamoeba_histolytica_isolate_19SAEH_18S_ribosomal_RNA_gene,_partial_sequence
KC853037.1	Entamoeba_histolytica_isolate_18ZAEH18S_18S_ribosomal_RNA_gene,_partial_sequence
KX528457.1	Entamoeba_histolytica_isolate_Sag1_18S_small_subunit_ribosomal_RNA_gene,_partial_sequence
KX528458.1	Entamoeba_histolytica_isolate_Sag2_18S_small_subunit_ribosomal_RNA_gene,_partial_sequence
KX528459.1	Entamoeba_histolytica_isolate_Sag3_18S_small_subunit_ribosomal_RNA_gene,_partial_sequence
KX528460.1	Entamoeba_histolytica_isolate_Sag4_18S_small_subunit_ribosomal_RNA_gene,_partial_sequence
KX528461.1	Entamoeba_histolytica_isolate_Sag5_18S_small_subunit_ribosomal_RNA_gene,_partial_sequence
KX528462.1	Entamoeba_histolytica_isolate_Sag6_18S_small_subunit_ribosomal_RNA_gene,_partial_sequence
KC853029.1	Entamoeba_histolytica_isolate_7ZAEH18S_18S_ribosomal_RNA_gene,_partial_sequence
KC853025.1	Entamoeba_histolytica_isolate_3ZAEH18S_18S_ribosomal_RNA_gene,_partial_sequence
KC853024.1	Entamoeba_histolytica_isolate_2NKZA_18S_ribosomal_RNA_gene,_partial_sequence
KC853026.1	Entamoeba_histolytica_isolate_4ZAEH18S_18S_ribosomal_RNA_gene,_partial_sequence
KC853030.1	Entamoeba_histolytica_isolate_10ZAEH18S_18S_ribosomal_RNA_gene,_partial_sequence
KC853034.1	Entamoeba_histolytica_isolate_14ZAEH18S_18S_ribosomal_RNA_gene,_partial_sequence
KC853031.1	Entamoeba_histolytica_isolate_11ZAEH18S_18S_ribosomal_RNA_gene,_partial_sequence
KC853036.1	Entamoeba_histolytica_isolate_15ZAEH18S_18S_ribosomal_RNA_gene,_partial_sequence
KC853039.1	Entamoeba_histolytica_isolate_20ZAEH_18S_ribosomal_RNA_gene,_partial_sequence
KC853027.1	Entamoeba_histolytica_isolate_5ZAEH18S_18S_ribosomal_RNA_gene,_partial_sequence
KC853028.1	Entamoeba_histolytica_isolate_6ZAEH18S_18S_ribosomal_RNA_gene,_partial_sequence
KC853032.1	Entamoeba_histolytica_isolate_12ZAEH18S_18S_ribosomal_RNA_gene,_partial_sequence
KC853033.1	Entamoeba_histolytica_isolate_13ZAEH18S_18S_ribosomal_RNA_gene,_partial_sequence
FJ888636.1	Entamoeba_histolytica_isolate_RY1097_18S_ribosomal_RNA_gene,_partial_sequence
KT825974.1	Entamoeba_histolytica_isolate_117_18S_small_subunit_ribosomal_RNA_gene,_partial_sequence
MG601093.1	Entamoeba_polecki_18S_ribosomal_RNA_gene,_partial_sequence
MH133211.1	Entamoeba_dispar_isolate_01_18S_ribosomal_RNA_gene,_partial_sequence
MG714920.1	Entamoeba_ranarum_isolate_C4_18S_ribosomal_RNA_gene,_partial_sequence
MG714921.1	Entamoeba_sp._isolate_W7_18S_ribosomal_RNA_gene,_partial_sequence
KJ188440.1	Entamoeba_histolytica_voucher_MPL-B-25_18S_ribosomal_RNA_gene,_partial_sequence
KJ719490.1	Entamoeba_histolytica_isolate_Mpl_Eh10_18S_ribosomal_RNA_gene,_partial_sequence
KX027286.1	Entamoeba_gingivalis_strain_P57_18S_ribosomal_RNA_gene,_partial_sequence
KX027288.1	Entamoeba_gingivalis_strain_O66_18S_ribosomal_RNA_gene,_partial_sequence
KX027291.1	Entamoeba_gingivalis_strain_O59_18S_ribosomal_RNA_gene,_partial_sequence
KX027287.1	Entamoeba_gingivalis_strain_O66_18S_ribosomal_RNA_gene,_partial_sequence
KX027292.1	Entamoeba_gingivalis_strain_P13_18S_ribosomal_RNA_gene,_partial_sequence
EF204917.1	Entamoeba_dispar_18S_ribosomal_RNA_gene,_partial_sequence
KU939312.1	Entamoeba_histolytica_isolate_HM-1:IMSS_18S_ribosomal_RNA_gene,_partial_sequence
KU939319.1	Entamoeba_invadens_isolate_IP-1_18S_ribosomal_RNA_gene,_partial_sequence
KT253454.1	Entamoeba_histolytica_isolate_EH_IQ.B5_18S_ribosomal_RNA_gene,_partial_sequence
KR105609.1	Entamoeba_histolytica_isolate_C1_18S_ribosomal_RNA_gene,_partial_sequence
KT253451.1	Entamoeba_histolytica_isolate_EH_IQ.B2_18S_ribosomal_RNA_gene,_partial_sequence
KT253452.1	Entamoeba_histolytica_isolate_EH_IQ.B3_18S_ribosomal_RNA_gene,_partial_sequence
KT253453.1	Entamoeba_histolytica_isolate_EH_IQ.B4_18S_ribosomal_RNA_gene,_partial_sequence
KT253450.1	Entamoeba_histolytica_isolate_EH_IQ.B1_18S_ribosomal_RNA_gene,_partial_sequence
MF631998.1	Entamoeba_muris_18S_ribosomal_RNA_gene,_partial_sequence
FR686405.1	Entamoeba_coli_partial_18S_rRNA_gene,_isolate_79739
MF631987.1	Entamoeba_moshkovskii_18S_ribosomal_RNA_gene,_partial_sequence
MF631989.1	Entamoeba_bangladeshi_isolate_8111_18S_ribosomal_RNA_gene,_partial_sequence
MF631990.1	Entamoeba_dispar_isolate_SAW760_18S_ribosomal_RNA_gene,_partial_sequence
MF631994.1	Entamoeba_histolytica_isolate_Rahman_18S_ribosomal_RNA_gene,_partial_sequence
MF631992.1	Entamoeba_histolytica_isolate_HM-1_IMSS_18S_ribosomal_RNA_gene,_partial_sequence
KJ188439.1	Entamoeba_dispar_voucher_MPL-A-87_18S_ribosomal_RNA_gene,_partial_sequence
MF631997.1	Entamoeba_coli_isolate_ST2_18S_ribosomal_RNA_gene,_partial_sequence
MF631993.1	Entamoeba_histolytica_isolate_HM-1_IMSS_18S_ribosomal_RNA_gene,_partial_sequence
MF631995.1	Entamoeba_histolytica_isolate_2592100_18S_ribosomal_RNA_gene,_partial_sequence
MF631988.1	Entamoeba_moshkovskii_isolate_Laredo_18S_ribosomal_RNA_gene,_partial_sequence
LC018995.1	Entamoeba_polecki_gene_for_18S_ribosomal_RNA,_partial_sequence,_isolate:_Shizuoka-1
MF631996.1	Entamoeba_coli_isolate_ST1_18S_ribosomal_RNA_gene,_partial_sequence
MF631986.1	Entamoeba_hartmanni_isolate_DMP07_18S_ribosomal_RNA_gene,_partial_sequence
MF631991.1	Entamoeba_nuttalli_isolate_360_18S_ribosomal_RNA_gene,_partial_sequence
HQ153408.1	Entamoeba_dispar_strain_ED13352_18S_ribosomal_RNA_gene,_partial_sequence
AB749459.1	Entamoeba_chattoni_gene_for_18S_ribosomal_RNA,_partial_sequence,_strain:_longhu
FR686424.1	Entamoeba_coli_partial_18S_rRNA_gene,_isolate_EM065
EF204916.1	Entamoeba_moshkovskii_18S_ribosomal_RNA_gene,_partial_sequence
AB749458.1	Entamoeba_coli_gene_for_18S_ribosomal_RNA,_partial_sequence,_strain:_63
AB749456.1	Entamoeba_coli_gene_for_18S_ribosomal_RNA,_partial_sequence,_strain:_11
KU939389.1	Entamoeba_histolytica_isolate_HM-1:IMSS_18S_ribosomal_RNA_gene,_partial_sequence
AB749457.1	Entamoeba_coli_gene_for_18S_ribosomal_RNA,_partial_sequence,_strain:_62
MH623051.1	Entamoeba_polecki_isolate_ZOTU538_18S_ribosomal_RNA_gene,_partial_sequence
